seed,sigma,shape,method,mean_dev,adaptation,n_evade,min_dist,mean_energy,success
0,3.0,straight,Line of Sight,20.085353388453566,31.5,13,2.082080537852538,0.15973464010932814,40.19933554817276
0,3.0,straight,Vector Field,26.29295187386994,106.5,9,16.058683456713588,0.14976570629448832,29.2358803986711
0,3.0,straight,Nonlinear Stabilization,28.543861677341173,42.5,12,3.825857522330147,0.15656665902827027,29.900332225913623
0,3.0,straight,Proposed AI,32.22718458768508,32.0,8,8.151497176557386,0.14484541627309203,24.58471760797342
0,3.0,circle,Pure Pursuit,14.724278057760435,5.0,17,1.9218610103218268,0.16392920557074436,45.51495016611295
0,3.0,circle,Line of Sight,16.624175569155863,13.5,29,0.7503053913267088,0.15836251850265987,46.51162790697674
0,3.0,circle,Vector Field,19.279135699721387,19.5,12,2.0525340939280534,0.15339459686626958,45.84717607973422
0,3.0,circle,Nonlinear Stabilization,22.478984956723767,20.0,8,18.244140811097296,0.144940994055479,39.53488372093023
0,3.0,circle,Proposed AI,23.564469288164844,20.5,8,22.363630914708924,0.13313024284380465,35.21594684385382
0,3.0,polyline,Pure Pursuit,12.061456060713832,9.5,10,0.19297125941683646,0.16541620064118473,51.49501661129568
0,3.0,polyline,Line of Sight,13.319870180845164,13.5,22,6.17370911586496,0.16010896790808848,53.820598006644516
0,3.0,polyline,Vector Field,19.59220675880011,18.0,15,2.83468673217231,0.15723677392928148,44.518272425249165
0,3.0,polyline,Nonlinear Stabilization,21.73336401642182,23.0,13,8.999766781471008,0.14948748705753703,37.87375415282392
0,3.0,polyline,Proposed AI,20.50967529128505,22.5,9,12.07650392880177,0.14333892681499832,42.524916943521596
1,0.5,straight,Pure Pursuit,20.01794698319165,14.0,11,1.4150885791476284,0.15376366751895681,38.53820598006645
1,0.5,straight,Line of Sight,12.275746832280127,13.5,7,1.370303476738295,0.15400715831158804,50.83056478405316
1,0.5,straight,Vector Field,28.791952878161027,30.0,7,8.973877069392175,0.15458210263406594,18.272425249169437
1,0.5,straight,Nonlinear Stabilization,11.19165547303701,33.5,2,10.967784244382079,0.07736691514051053,70.7641196013289
1,0.5,straight,Proposed AI,21.26360770156466,33.0,2,6.349139451291864,0.13622273522058662,43.85382059800664
1,0.5,circle,Pure Pursuit,16.128946004397154,10.5,8,2.5990165510249046,0.1569571778361475,43.521594684385384
1,0.5,circle,Line of Sight,17.264218306344354,1.5,11,5.144798193030507,0.1529350673416198,43.521594684385384
1,0.5,circle,Vector Field,21.548558522598515,18.5,5,21.377341702189636,0.1260334498205004,42.524916943521596
1,0.5,circle,Nonlinear Stabilization,21.26835437286951,14.5,6,6.345051923407108,0.15281411484322666,33.5548172757475
1,0.5,circle,Proposed AI,26.36392591106698,21.0,6,6.784334761262568,0.13512758713334977,28.57142857142857
1,0.5,polyline,Pure Pursuit,21.837234976838783,14.0,9,6.727563790162822,0.15715354087391684,33.222591362126245
1,0.5,polyline,Line of Sight,12.629288193761253,12.5,8,1.6828125240425678,0.1565294369652943,53.156146179402
1,0.5,polyline,Vector Field,17.233979548868167,20.0,4,12.846848050871362,0.12538095094850712,49.501661129568106
1,0.5,polyline,Nonlinear Stabilization,18.0724722882632,20.5,6,8.670668929573043,0.12687536407787314,48.50498338870432
1,0.5,polyline,Proposed AI,20.644821021622374,21.5,4,19.241698562268482,0.10473031735902971,46.179401993355484
1,1.0,straight,Pure Pursuit,13.461106538652315,11.0,9,0.6244418803492646,0.16235242913727432,47.176079734219265
1,1.0,straight,Line of Sight,20.231905341190316,13.5,9,1.1836630904852807,0.15163873975336928,41.19601328903654
1,1.0,straight,Vector Field,29.064304036712233,29.5,7,13.34675419168224,0.1542327336052387,19.269102990033225
